IDENTIFIER	DTB-097-Progression-cfDNA	DTB-102-Progression-cfDNA	DTB-119-Progression-cfDNA	DTB-149-Baseline-cfDNA	DTB-156-Baseline-cfDNA	DTB-183-Baseline-cfDNA	DTB-205-Baseline-cfDNA	DTB-210-Baseline-cfDNA	DTB-214-Baseline-cfDNA	DTB-216-Progression-cfDNA	DTB-258-Baseline-cfDNA	DTB-261-Baseline-cfDNA	DTB-266-Baseline-cfDNA	GENE_ID
ACVR1B	42.06	30.482	125.097	135.005	99.561	85.15	116.825	56.29	42.675	91.684	58.475	50.986	139.202	ENSG00000135503.13
ACVR1C	0.237	0.89	0.742	0.125	0.945	0.769	6.972	0.842	0.647	0.557	0.629	0.196	0.091	ENSG00000123612.16
ACVR2A	9.559	19.852	11.878	34.538	26.493	64.923	35.484	9.678	14.026	15.042	12.333	33.096	32.098	ENSG00000121989.15
ACVR2B	4.814	12.436	5.515	27.56	19.509	36.78	48.56	16.517	19.335	13.502	19.71	18.167	14.092	ENSG00000114739.14
ACVR2B-AS1	5.081	10.56	1.442	14.181	8.444	3.745	1.032	15.497	6.444	10.793	6.723	4.096	8.406	
ACVRL1	4.472	17.02	5.432	8.303	8.961	1.79	2.647	0.627	4.938	2.566	2.807	9.461	7.285	ENSG00000139567.13
ACY3	5.381	0.544	729.645	0.284	0.289	1.508	0.0	0.198	0.8	0.0	0.0	2.19	0.121	ENSG00000132744.8
ACYP1	45.008	57.068	32.271	21.161	69.497	64.484	124.088	42.395	26.834	122.433	63.83	37.381	29.709	ENSG00000119640.9
ACYP2	21.335	19.013	29.617	12.975	17.697	6.476	17.267	8.081	20.61	29.442	35.907	36.673	15.317	ENSG00000170634.13
ADA	4.537	11.946	3.985	4.121	8.614	4.473	0.811	11.948	3.987	2.793	1.12	3.421	2.503	ENSG00000196839.13
ADAL	7.094	24.372	4.15	6.964	6.929	6.148	10.127	6.715	22.037	16.42	8.326	10.013	8.427	ENSG00000168803.16
ADAM10	83.803	181.803	127.962	201.912	69.113	66.152	43.894	44.431	125.862	71.574	197.405	136.628	161.074	ENSG00000137845.15
ADAM12	6.677	53.531	14.649	18.595	8.09	13.45	12.764	3.297	9.583	7.419	2.17	4.736	3.81	ENSG00000148848.14
ADAM15	88.14	44.701	148.22	42.058	88.056	20.124	5.001	43.875	78.352	142.076	55.71	53.716	76.873	ENSG00000143537.14
ADAM17	47.986	79.906	46.923	49.368	67.692	46.142	37.88	34.791	43.044	70.171	55.076	42.528	31.373	ENSG00000151694.14
ADAM19	4.395	17.368	7.776	4.973	7.032	0.885	3.936	1.736	4.243	5.458	2.003	4.169	3.417	ENSG00000135074.16
ADAM1A	2.518	6.07	15.643	12.401	26.27	22.594	14.012	7.801	21.989	17.767	13.919	5.728	13.143	
ADAM2	1.113	1.534	1.204	17.885	0.313	10.496	0.0	0.085	2.344	1.954	2.856	0.197	4.307	ENSG00000104755.15
ADAM20	0.045	5.832	1.435	0.976	0.867	0.373	1.847	3.634	0.577	2.252	3.819	1.0	1.764	ENSG00000134007.5
ADAM21	0.0	2.33	1.131	2.63	0.13	0.979	0.0	2.044	0.121	0.993	2.585	1.46	0.818	ENSG00000139985.7
ADAM22	9.293	17.662	7.867	12.359	11.789	11.892	33.005	6.756	4.222	16.705	5.055	4.009	4.07	ENSG00000008277.14
ADAM23	0.31	1.209	0.374	1.899	0.054	0.323	5.801	0.036	0.4	0.283	24.9	0.313	0.179	ENSG00000114948.13
ADAM28	0.942	13.745	2.676	1.901	4.202	2.29	1.027	10.301	2.798	5.228	7.313	2.123	2.669	ENSG00000042980.13
ADAM32	3.98	2.888	0.357	0.665	0.061	0.926	0.499	2.299	1.147	0.505	3.374	1.02	1.157	ENSG00000197140.15
ADAM33	0.278	0.09	0.611	0.142	8.617	0.288	0.0	0.392	0.179	0.731	0.601	0.172	0.08	ENSG00000149451.18
ADAM7	0.0	134.796	0.467	7.632	3.32	0.0	0.136	1.51	1.314	0.059	1.0	0.993	0.169	ENSG00000069206.15
ADAM8	3.725	6.54	1.924	2.043	4.768	0.234	0.07	3.748	3.481	4.565	0.976	0.791	1.65	ENSG00000151651.16
ADAM9	72.102	312.116	135.588	411.05	13.307	76.74	39.446	51.875	69.213	151.091	251.707	149.595	43.753	ENSG00000168615.13
ADAMDEC1	1.667	40.209	6.879	2.046	9.599	0.0	2.719	0.196	1.2	0.924	10.548	0.706	2.82	ENSG00000134028.14
ADAMTS1	26.108	29.161	58.702	201.046	18.161	683.007	13.188	0.839	37.666	8.211	3.107	17.88	12.796	ENSG00000154734.16
ADAMTS10	0.813	0.437	0.989	0.838	0.928	0.0	0.052	0.422	2.023	1.182	0.607	0.521	2.009	ENSG00000142303.14
ADAMTS12	20.659	26.283	8.08	1.469	2.981	2.248	1.882	0.739	2.407	1.155	0.781	0.609	2.584	ENSG00000151388.11
ADAMTS13	2.264	1.02	0.853	1.916	5.671	1.875	0.0	2.128	0.715	4.648	2.003	0.745	1.309	ENSG00000160323.19
ADAMTS17	0.591	0.594	0.766	4.329	3.734	3.652	0.107	3.405	1.919	1.702	0.551	1.844	3.417	ENSG00000140470.15
ADAMTS19	0.0	0.124	0.115	0.357	0.33	0.0	1.429	0.09	0.0	0.078	0.0	0.059	0.055	ENSG00000145808.10
ADAMTS2	18.187	14.147	9.165	18.077	9.672	0.674	0.668	1.728	11.821	7.324	2.289	11.084	6.18	ENSG00000087116.16
ADAMTS20	0.0	0.0	3.222	0.0	0.0	0.044	0.316	1.35	0.327	0.788	0.0	0.026	0.122	ENSG00000173157.17
ADAMTS3	4.739	3.185	4.907	6.218	0.344	13.023	0.699	6.37	4.183	3.171	0.0	0.464	0.385	ENSG00000156140.10
ADAMTS4	1.78	4.402	3.171	1.651	3.662	0.117	1.478	0.106	1.529	1.008	0.938	5.285	1.502	ENSG00000158859.10
ADAMTS5	4.263	9.572	6.506	4.457	6.618	0.258	10.262	3.068	1.853	1.467	8.033	12.492	6.864	ENSG00000154736.6
ADAMTS6	0.546	3.008	2.474	1.35	2.693	0.345	14.472	0.249	2.264	1.29	0.622	0.759	1.416	ENSG00000049192.15
ADAMTS7	5.3	1.377	2.411	5.585	3.594	1.241	0.0	1.163	5.584	1.577	1.468	3.834	1.762	ENSG00000136378.15
ADAMTS9	3.632	12.813	9.384	8.586	11.612	1.164	6.976	2.225	5.859	4.353	8.346	22.703	11.275	ENSG00000163638.13
ADAMTS9-AS1	0.407	0.081	1.153	0.128	0.259	0.0	0.0	0.471	0.403	0.76	0.316	0.697	0.361	
ADAMTS9-AS2	0.229	1.931	0.911	2.097	0.631	0.118	0.0	0.431	0.88	1.663	0.823	1.131	2.642	
ADAMTSL1	0.87	17.888	2.678	3.897	3.353	1.157	1.935	0.31	25.072	1.219	0.456	2.811	37.198	ENSG00000178031.17
ADAMTSL2	1.752	3.005	0.951	2.944	4.747	0.308	0.555	0.837	2.905	0.818	0.3	0.698	2.195	ENSG00000197859.11
ADAMTSL3	8.319	9.598	1.209	15.031	4.601	7.459	2.017	0.707	70.68	28.014	20.312	1.095	0.926	ENSG00000156218.13
ADAMTSL4	2.877	6.104	0.798	0.639	2.517	1.725	0.827	1.664	4.204	2.376	1.917	1.679	2.493	ENSG00000143382.15
ADAMTSL4-AS1	1.661	12.465	4.081	4.085	4.157	13.75	1.282	4.925	15.274	7.453	7.623	3.698	6.001	
ADAP1	3.739	1.168	0.431	2.932	3.844	0.28	0.084	1.777	1.271	2.182	2.333	0.556	0.104	ENSG00000105963.15
ADAP2	11.162	30.715	7.804	12.095	25.311	5.682	5.377	5.156	25.343	8.421	13.686	17.733	12.078	ENSG00000184060.11
ADAR	198.636	192.094	113.043	104.584	292.193	289.192	122.306	102.404	145.567	245.945	340.24	125.496	97.619	ENSG00000160710.17
ADARB1	3.618	15.088	10.664	17.264	39.294	40.153	2.077	18.863	16.998	17.581	9.13	11.633	32.357	ENSG00000197381.16
ADARB2	0.0	0.0	0.0	0.116	1.059	0.652	0.797	0.027	0.22	1.871	9.051	0.053	0.148	ENSG00000185736.16
ADARB2-AS1	0.258	0.0	5.807	0.0	1.394	0.51	0.947	0.0	29.568	14.756	6.765	0.307	2.323	
ADAT1	7.786	13.973	27.216	11.362	18.429	4.556	7.493	10.056	9.615	24.093	20.372	13.111	13.106	ENSG00000065457.10
ADAT2	3.446	8.289	2.398	4.231	13.492	4.676	13.457	6.963	4.555	5.0	1.902	6.306	6.824	ENSG00000189007.16
ADCK1	7.733	6.378	3.003	8.376	7.717	3.429	5.872	13.66	6.299	12.823	9.698	9.314	5.606	ENSG00000063761.16
ADCK2	31.719	35.155	15.16	25.531	52.14	15.688	7.028	16.788	54.997	32.81	40.829	14.604	38.581	ENSG00000133597.11
ADCK3	41.192	30.31	12.162	87.404	78.518	103.678	100.673	52.934	90.885	38.948	49.667	26.338	42.074	
ADCK4	14.26	4.865	9.291	3.438	13.543	3.567	1.419	4.956	7.929	7.285	5.469	2.691	5.029	
ADCK5	8.075	9.269	17.445	6.166	7.694	6.575	7.399	8.068	15.291	30.889	13.154	9.052	9.063	ENSG00000173137.12
ADCY1	9.122	3.965	3.894	21.428	12.28	7.344	16.191	3.888	2.758	5.606	51.993	11.177	7.35	ENSG00000164742.16
ADCY10	0.155	0.518	2.599	0.904	0.122	0.6	0.373	1.793	1.316	0.936	1.474	0.275	0.615	ENSG00000143199.18
ADCY10P1	0.588	2.637	1.114	1.162	8.403	2.223	0.549	0.151	1.722	2.557	6.638	1.788	2.625	
ADCY2	0.0	25.332	11.887	6.706	0.102	0.958	4.953	0.588	35.293	26.828	12.265	1.187	0.66	ENSG00000078295.17
ADCY3	11.689	15.246	9.011	24.731	35.144	5.38	8.943	13.341	20.218	30.583	15.467	11.858	10.868	ENSG00000138031.14
ADCY4	1.028	4.905	16.558	6.934	7.494	0.413	2.106	0.561	5.631	9.556	2.008	4.308	6.432	ENSG00000129467.14
ADCY5	0.926	0.551	12.402	7.452	1.171	0.402	1.623	1.161	0.149	1.096	3.069	0.838	1.004	ENSG00000173175.15
ADCY6	10.295	14.557	24.273	33.362	30.919	12.121	3.923	21.22	26.32	38.092	17.949	18.885	35.946	ENSG00000174233.11
ADCY7	6.494	16.672	3.871	6.448	7.232	4.214	2.017	5.218	14.179	9.45	3.929	5.355	4.636	ENSG00000121281.13
ADCY9	14.846	5.65	5.797	7.333	9.645	6.183	11.849	1.782	17.256	15.798	5.169	18.603	10.673	ENSG00000162104.10
ADCYAP1	0.0	0.0	0.0	0.0	0.304	1.143	10.423	0.0	0.0	0.178	0.0	0.5	0.042	ENSG00000141433.13
ADCYAP1R1	0.128	0.333	0.324	0.05	0.253	0.344	12.887	0.0	0.852	0.179	0.08	0.227	0.297	ENSG00000078549.15
ADD1	47.675	70.281	57.901	93.383	71.563	46.307	32.991	21.838	62.839	58.451	95.878	63.444	73.602	ENSG00000087274.17
ADD2	0.0	2.326	5.066	1.245	0.449	0.0	41.495	0.077	0.158	28.141	6.177	4.542	0.423	ENSG00000075340.23
ADD3	136.098	64.992	31.891	91.616	165.898	696.89	130.201	12.495	21.751	20.312	8.188	17.253	102.162	ENSG00000148700.15
ADGB	0.046	0.954	0.111	0.0	0.0	0.0	0.043	0.086	0.0	4.656	0.0	0.028	0.292	ENSG00000118492.17
ADGRA2	17.325	35.643	13.548	23.044	21.663	5.463	24.075	1.619	12.046	8.064	7.877	22.085	13.596	ENSG00000020181.18
ADGRA3	21.207	33.052	14.065	43.973	58.182	47.648	41.123	22.472	63.606	24.669	22.087	45.984	33.93	ENSG00000152990.14
ADGRB1	1.009	0.285	2.042	0.06	11.735	0.091	1.967	0.33	1.245	0.747	0.158	0.489	0.203	ENSG00000181790.11
ADGRB2	4.013	0.637	3.365	1.213	2.214	0.974	6.959	0.042	1.668	16.534	2.642	1.382	8.712	ENSG00000121753.12
ADGRB3	0.279	0.391	0.311	0.73	22.824	0.179	35.829	0.323	0.222	0.488	0.093	0.56	1.913	ENSG00000135298.14
ADGRD1	8.969	6.849	2.352	3.922	2.051	0.234	6.781	1.186	3.43	13.932	0.586	0.056	2.944	ENSG00000111452.13
ADGRE1	0.422	0.199	0.184	0.676	1.056	0.0	0.072	0.144	0.197	0.496	0.386	1.374	0.177	ENSG00000174837.15
ADGRE2	3.357	7.413	1.978	3.5	2.007	0.272	0.488	1.683	1.733	1.787	2.238	4.187	1.229	ENSG00000127507.18
ADGRE3	0.315	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	2.705	0.0	0.711	0.0	ENSG00000131355.15
ADGRE5	27.688	49.761	5.84	12.128	22.954	3.825	18.136	6.929	23.518	13.252	3.781	15.39	10.926	ENSG00000123146.20
ADGRF1	0.258	0.516	74.845	338.27	6.744	0.124	0.0	0.299	10.208	1.549	1.178	14.716	0.023	ENSG00000153292.16
ADGRF3	0.607	1.109	1.479	0.611	5.455	1.216	0.924	1.267	5.159	2.224	1.331	0.919	1.169	ENSG00000173567.15
ADGRF5	9.073	61.693	315.712	47.338	23.483	5.266	17.224	1.623	50.828	6.583	9.781	25.321	18.385	ENSG00000069122.19
ADGRG1	34.573	22.163	73.217	13.644	34.236	8.019	14.816	42.391	56.7	25.837	28.684	18.84	3.839	ENSG00000205336.14
ADGRG2	0.753	3.325	1.571	1.501	2.908	14.827	0.422	1.416	4.4	169.233	10.732	10.327	1.915	ENSG00000173698.18
ADGRG3	0.0	0.0	0.602	0.192	0.26	0.0	0.0	0.0	0.0	7.543	0.339	0.757	0.381	ENSG00000182885.17
ADGRG5	0.03	2.137	0.147	0.083	0.504	0.507	0.057	0.057	0.157	0.692	0.044	0.227	0.211	ENSG00000159618.16
ADGRG6	268.878	8.49	1.362	0.494	52.574	0.468	4.04	0.943	0.268	4.802	27.133	6.371	1.8	ENSG00000112414.15
ADGRG7	2.234	0.0	0.0	0.0	0.0	0.942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ENSG00000144820.8
ADGRL1	41.83	14.165	27.806	13.918	86.892	24.472	33.946	1.493	21.659	47.289	37.471	33.753	5.14	ENSG00000072071.16
ADGRL2	17.505	76.556	20.847	31.691	228.836	19.442	121.665	91.141	11.799	228.68	5.203	22.124	20.334	ENSG00000117114.20
ADGRL3	0.217	0.769	0.0	1.046	9.632	1.807	36.869	0.26	0.56	0.512	0.0	0.342	0.16	ENSG00000150471.16
ADGRL4	10.344	32.333	22.175	34.994	21.354	2.763	13.323	2.63	13.786	5.249	12.452	38.263	22.859	ENSG00000162618.15
ADGRV1	19.07	1.892	9.963	11.369	24.069	17.255	3.822	14.665	30.801	58.401	11.834	18.725	9.723	ENSG00000164199.18
ADH1A	90.014	0.693	0.0	0.362	0.0	0.0	0.332	0.335	0.227	0.143	0.127	0.328	0.103	ENSG00000187758.8
ADH1B	171.407	12.954	0.0	0.121	0.0	1.016	0.333	0.0	0.0	0.288	0.0	1.267	0.154	ENSG00000196616.14
ADH1C	113.429	0.386	0.236	0.505	0.615	1.535	0.0	5.185	1.141	1.078	0.0	2.934	1.201	ENSG00000248144.6
ADH4	93.627	0.773	0.0	0.323	1.148	0.492	0.667	0.56	0.0	0.48	0.171	1.029	0.069	ENSG00000198099.9
ADH5	42.052	57.826	28.123	88.923	47.917	85.628	87.134	47.806	45.243	93.592	34.129	95.808	51.104	ENSG00000197894.11
ADH6	32.675	0.755	0.0	0.564	0.458	1.292	1.164	1.172	0.0	1.008	0.06	0.822	0.336	ENSG00000172955.17
ADHFE1	2.61	3.376	27.947	7.8	14.336	1.555	0.0	0.129	17.163	19.199	1.475	15.871	1.026	ENSG00000147576.17
ADI1	52.076	52.577	52.811	30.198	37.934	83.981	24.224	53.765	69.193	46.156	55.851	40.091	153.011	ENSG00000182551.14
ADIPOQ	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.214	0.0	1.176	0.061	ENSG00000181092.10
ADIPOR1	388.128	495.927	223.908	275.167	369.802	221.152	253.09	246.757	263.786	301.186	307.247	209.125	194.784	ENSG00000159346.13
ADIPOR2	36.342	46.197	17.628	42.917	17.863	21.897	37.414	29.725	49.648	38.171	34.623	35.351	29.617	ENSG00000006831.10
ADIRF	11.429	3.72	15.377	15.143	266.957	1.444	0.0	4.989	168.271	9.796	12.444	22.602	165.225	ENSG00000148671.14
ADK	32.795	33.043	12.757	40.13	31.649	26.468	34.846	59.834	29.059	111.636	55.035	48.013	37.962	ENSG00000156110.15
ADM	31.114	40.848	22.152	5.758	8.489	15.79	2.645	14.435	9.988	13.262	11.938	1.538	0.672	ENSG00000148926.10
ADM2	7.54	3.87	10.888	14.996	25.213	4.647	0.321	7.545	3.101	0.929	4.262	12.781	3.146	ENSG00000128165.9
ADNP	78.717	109.354	88.617	148.318	140.081	182.614	172.041	97.372	217.684	102.754	167.866	168.286	84.989	ENSG00000101126.18
ADNP2	16.397	34.983	16.127	29.091	24.168	11.39	20.838	35.826	24.227	23.098	13.833	24.265	25.647	ENSG00000101544.9
ADO	13.316	23.638	14.472	20.915	12.323	10.864	29.506	19.112	15.766	18.394	23.882	23.362	23.177	ENSG00000181915.5
ADORA1	5.319	0.445	0.411	0.233	1.417	0.444	0.16	0.0	1.431	2.01	12.223	0.212	0.346	ENSG00000163485.17
ADORA2B	0.829	1.251	3.062	1.027	9.297	0.284	5.274	19.707	0.528	2.331	2.571	1.189	7.148	ENSG00000170425.3
ADORA3	4.254	26.332	2.635	4.115	5.318	1.712	2.06	1.038	3.958	3.205	3.093	4.698	4.009	ENSG00000282608.2
ADPGK	16.62	48.37	38.634	86.767	21.692	31.031	7.857	49.345	72.485	31.811	91.72	39.698	44.905	ENSG00000159322.17
ADPGK-AS1	1.244	4.062	1.69	3.562	1.903	3.625	1.634	5.282	8.392	2.456	7.888	2.845	4.091	
ADPRH	5.833	18.442	16.253	8.239	10.439	0.626	6.135	1.827	4.657	10.799	9.57	7.88	10.45	ENSG00000144843.11
ADPRHL1	9.128	18.757	19.547	9.647	13.925	3.038	0.0	7.962	3.613	7.017	11.827	5.44	5.627	ENSG00000153531.13
ADPRHL2	23.715	6.05	24.884	22.97	13.488	23.241	9.58	4.391	16.276	22.392	23.632	9.478	11.2	
ADPRM	6.878	15.032	4.72	14.394	20.068	48.441	9.509	32.251	10.071	10.864	11.191	9.722	6.879	ENSG00000170222.12
ADRA1A	6.982	0.09	0.222	0.849	1.053	0.0	1.427	0.0	0.0	0.225	0.15	0.301	0.16	ENSG00000120907.18
ADRA2A	0.0	5.444	0.712	135.624	4.818	225.72	5.936	0.478	35.091	2.316	0.458	8.221	1.395	ENSG00000150594.7
ADRA2B	0.331	0.0	0.118	0.999	1.419	0.0	0.069	0.207	0.284	1.012	0.583	0.319	0.212	ENSG00000274286.2
ADRA2C	2.715	0.514	0.42	3.225	8.734	0.409	0.247	0.622	2.197	0.958	10.339	0.57	0.381	ENSG00000184160.8
ADRB1	0.0	8.974	15.516	32.798	0.0	35.656	0.0	4.445	0.0	8.563	6.493	25.808	0.808	ENSG00000043591.6
ADRB2	4.741	60.71	78.511	80.064	72.623	163.305	1.884	25.517	221.656	42.915	119.056	120.739	143.508	ENSG00000169252.6
ADRBK1	21.621	20.72	44.063	23.635	15.66	20.225	5.776	20.822	76.488	26.891	47.023	21.177	28.692	
ADRBK2	23.132	18.945	16.602	18.114	18.882	41.578	41.044	12.168	11.265	11.463	23.168	28.448	32.104	
ADRM1	136.253	77.126	112.533	93.411	79.383	39.239	84.875	60.608	79.665	94.508	97.425	117.375	69.855	ENSG00000130706.13
ADSL	67.972	41.646	49.321	73.546	47.485	54.756	80.569	29.917	45.922	32.909	26.65	56.029	58.332	ENSG00000239900.13
ADSS	43.133	67.208	36.083	36.5	58.683	29.078	50.557	17.139	22.012	50.543	38.071	35.799	18.695	
ADSSL1	15.495	8.825	7.277	6.207	4.259	7.413	3.695	0.233	0.158	23.636	5.153	4.882	4.565	
ADTRP	0.421	85.711	16.999	1.613	0.0	1.3	0.131	0.263	0.179	11.726	2.813	17.254	1.775	ENSG00000111863.13
AEBP1	42.334	181.014	37.925	39.793	67.003	29.336	39.005	5.026	50.361	17.815	14.393	31.767	28.769	ENSG00000106624.11
AEBP2	13.587	23.819	19.716	25.759	17.247	17.917	23.761	24.685	22.64	16.947	17.02	12.999	24.891	ENSG00000139154.16
AEN	13.083	8.094	7.923	11.454	22.257	16.17	16.876	19.245	19.935	12.224	7.605	19.678	9.093	ENSG00000181026.15
AES	89.766	72.244	141.696	147.062	115.786	42.375	48.637	81.116	175.692	134.628	159.172	108.997	113.684	
AFAP1	17.202	19.825	9.366	20.234	13.17	5.761	10.771	4.734	22.984	15.232	12.291	17.424	13.793	ENSG00000196526.10
AFAP1-AS1	68.467	1.566	0.256	2.532	1.076	0.222	1.491	0.267	2.746	1.439	2.0	0.902	1.743	
AFAP1L1	6.461	7.933	6.389	15.974	8.264	1.27	8.971	2.079	10.718	4.103	7.728	10.451	12.406	ENSG00000157510.14
AFAP1L2	4.869	6.434	2.931	8.618	14.235	10.116	2.756	0.555	2.963	3.06	2.64	5.48	5.215	ENSG00000169129.15
AFF1	69.14	137.384	110.473	204.617	126.835	252.535	64.148	5.342	50.401	147.209	147.804	111.901	198.806	ENSG00000172493.22
AFF2	15.68	5.644	0.785	2.339	1.817	0.125	23.696	0.161	0.774	1.544	0.186	1.232	1.069	ENSG00000155966.14
AFF3	2.612	13.387	0.376	22.596	32.342	119.395	111.388	90.857	81.721	0.949	41.836	36.792	74.068	ENSG00000144218.19
AFF4	72.159	104.371	129.027	137.044	96.845	171.937	62.347	92.677	88.419	125.43	178.709	100.848	145.108	ENSG00000072364.13
AFG3L1P	3.058	6.71	12.519	5.438	18.335	2.357	7.301	4.681	4.869	8.22	7.412	3.551	4.442	
AFG3L2	24.778	35.202	27.196	51.67	27.875	27.574	30.688	34.463	60.768	26.084	22.731	54.256	18.657	ENSG00000141385.10
AFM	46.716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ENSG00000079557.5
AFMID	27.16	23.39	65.208	35.88	88.229	10.914	51.498	24.996	33.723	46.404	92.317	15.735	75.591	ENSG00000183077.15
AFTPH	54.912	115.964	134.123	224.145	55.709	68.635	55.484	56.224	67.67	121.08	108.525	109.038	110.045	ENSG00000119844.15
AGA	27.188	21.084	19.047	22.21	28.782	6.946	20.537	11.497	9.074	20.103	18.437	19.524	18.252	ENSG00000038002.9
AGAP1	16.085	18.378	11.339	14.286	15.587	20.17	32.423	23.105	24.574	30.955	34.648	26.035	14.342	ENSG00000157985.19
AGAP11	0.0	2.15	1.261	2.089	7.612	11.294	0.811	3.413	13.894	1.213	2.388	1.757	14.713	
AGAP2	0.536	2.681	1.371	0.243	1.259	0.207	1.929	0.075	0.563	3.641	0.545	0.591	0.505	ENSG00000135439.11
AGAP2-AS1	6.636	7.669	33.691	2.71	13.649	1.432	4.384	2.784	5.763	12.438	4.733	6.098	2.505	
AGAP3	8.904	14.877	8.85	18.337	25.22	14.26	16.765	8.777	12.546	15.433	23.397	5.922	11.519	ENSG00000133612.19
AGAP4	1.902	8.855	2.0	7.798	4.999	3.85	2.823	8.934	4.438	10.266	11.446	4.111	4.188	ENSG00000188234.13
AGAP5	1.728	8.41	3.499	8.087	12.819	1.19	2.148	12.489	2.681	17.559	10.754	5.358	5.79	ENSG00000172650.14
AGAP6	3.854	14.457	8.603	9.345	21.218	2.816	8.628	18.228	7.908	32.946	33.717	9.236	13.278	ENSG00000204149.13
AGAP7P	0.422	3.01	6.217	0.429	0.436	0.655	0.492	3.67	1.217	0.766	1.138	0.911	0.426	
AGAP9	2.984	10.768	5.171	7.291	17.59	8.148	3.08	14.711	7.366	20.015	21.198	1.248	8.041	ENSG00000204172.12
AGBL1	0.248	0.0	0.0	2.309	0.0	0.0	0.132	1.998	0.0	0.401	0.0	0.132	0.123	ENSG00000273540.4
AGBL2	0.447	0.893	1.266	0.327	1.232	0.071	0.128	0.776	0.885	0.779	2.033	0.17	0.874	ENSG00000165923.16
AGBL3	0.7	2.453	2.128	1.284	5.307	1.599	0.654	1.645	1.621	3.74	5.249	0.78	2.142	ENSG00000146856.14
AGBL4	0.586	0.542	0.334	2.724	8.41	0.693	3.826	0.236	1.826	9.06	5.601	4.29	0.869	ENSG00000186094.17
AGBL5	45.155	19.776	15.902	15.224	28.2	42.016	21.482	27.353	42.457	29.715	22.283	23.162	20.864	ENSG00000084693.16
AGER	0.074	0.53	0.508	0.366	0.793	0.271	0.139	0.54	0.839	0.905	0.685	0.357	0.622	ENSG00000204305.14
AGFG1	20.745	40.503	24.444	28.755	24.042	24.099	36.725	22.792	36.815	39.134	48.05	39.345	29.775	ENSG00000173744.18
AGFG2	16.009	62.358	45.063	14.563	18.163	3.213	2.982	32.145	24.813	22.347	30.511	7.533	106.002	ENSG00000106351.13
AGGF1	32.097	46.383	35.205	47.224	42.008	66.441	29.528	23.034	75.366	87.67	24.5	40.262	42.41	ENSG00000164252.13
AGK	21.057	33.729	20.996	26.092	34.438	31.339	23.2	28.681	34.352	32.376	44.113	24.678	27.098	ENSG00000006530.18
AGL	11.782	18.874	29.263	16.311	9.097	11.339	11.781	10.339	20.955	22.516	16.969	21.761	25.411	ENSG00000162688.17
AGMAT	5.49	1.024	3.091	1.608	5.004	0.573	0.0	0.371	1.623	3.704	23.661	2.831	1.732	ENSG00000116771.6
AGMO	11.22	4.912	0.0	0.417	0.846	0.0	53.693	0.577	0.131	0.496	0.147	0.19	0.0	ENSG00000187546.14
AGO1	24.363	26.587	28.031	42.393	25.489	32.802	32.285	14.709	37.926	46.817	43.945	30.34	32.851	ENSG00000092847.13
AGO2	48.734	85.611	72.058	52.667	82.63	69.71	134.308	27.914	115.035	81.208	79.875	71.868	84.382	ENSG00000123908.12
AGO3	15.585	32.969	28.406	26.589	38.559	48.733	55.106	19.549	34.338	63.18	62.33	45.103	37.747	ENSG00000126070.20
AGO4	7.173	11.732	4.384	12.169	17.962	34.542	9.207	8.843	17.472	17.908	17.796	5.624	12.949	ENSG00000134698.11
AGPAT1	13.635	18.404	8.015	17.171	22.746	10.934	11.923	19.725	16.015	18.756	9.32	21.493	12.26	ENSG00000204310.13
AGPAT2	74.759	20.272	47.95	25.365	37.364	5.659	3.848	9.058	16.859	79.507	22.142	11.729	11.082	ENSG00000169692.13
AGPAT3	43.928	45.153	91.516	48.443	85.845	26.893	6.853	47.457	42.285	65.895	63.323	24.321	71.689	ENSG00000160216.21
AGPAT4	2.131	6.291	1.837	3.335	8.194	0.539	8.427	2.033	2.046	10.044	2.688	2.117	2.748	ENSG00000026652.15
AGPAT5	34.529	56.255	27.264	40.258	21.51	15.086	47.993	16.107	10.143	20.639	35.046	21.978	13.738	ENSG00000155189.12
AGPS	7.72	24.946	15.367	5.774	19.838	0.294	35.578	9.806	6.676	7.532	7.251	4.393	16.468	ENSG00000018510.17
AGR2	267.368	1521.307	2238.971	526.213	2.417	1.793	105.51	79.621	611.195	1051.842	80.144	24.706	0.505	ENSG00000106541.12
AGR3	0.419	38.525	435.49	15.866	0.0	0.0	1.927	0.0	0.0	10.121	0.291	0.0	0.473	ENSG00000173467.9
AGRN	37.467	9.669	42.233	25.555	24.485	3.014	5.499	4.369	25.564	26.347	63.098	20.106	6.109	ENSG00000188157.15
AGT	249.398	15.715	9.347	18.16	0.404	0.91	7.844	0.551	0.125	0.631	11.176	9.835	2.818	ENSG00000135744.8
AGTPBP1	6.083	31.587	10.357	18.214	26.643	26.019	64.419	8.804	18.032	22.166	17.526	35.142	17.945	ENSG00000135049.16
AGTR1	9.785	0.892	184.269	119.55	1.624	0.407	26.41	6.373	3.654	8.012	71.871	9.402	112.139	ENSG00000144891.18
AGTRAP	64.895	39.899	110.51	122.349	19.998	8.771	10.97	6.243	18.999	51.196	123.323	96.798	20.907	ENSG00000177674.16
